doctor_name,clinic,physician_count,unique_link
CITY EYES OPTOMETRY,CITY EYES OPTOMETRY,1,https://khannainstitute.com/city-eyes-optometry
,CLAREMONT OPTOMETRY GROUP,3,https://khannainstitute.com/claremont-optometry-group
,CLEAR CHOICE OPTOMETRY,2,https://khannainstitute.com/clear-choice-optometry
CLEAR SIGHT OPTOMETRY,CLEAR SIGHT OPTOMETRY,1,https://khannainstitute.com/clear-sight-optometry
,"CLIFFORD SILVERMAN, OD OPTOMETRY",2,https://khannainstitute.com/clifford-silverman-od-optometry
COAST OPTOMETRY,COAST OPTOMETRY,1,https://khannainstitute.com/coast-optometry
,COASTAL VISION CENTER,2,https://khannainstitute.com/coastal-vision-center
COASTAL VISION MEDICAL GROUP,COASTAL VISION MEDICAL GROUP,1,https://khannainstitute.com/coastal-vision-medical-group
COMMUNITY EYE CENTER OPTOMETRY,COMMUNITY EYE CENTER OPTOMETRY,1,https://khannainstitute.com/community-eye-center-optometry
,COMMUNITY VISION CENTER,2,https://khannainstitute.com/community-vision-center
COMMUNITY VISION OPTOMETRIC CENTER,COMMUNITY VISION OPTOMETRIC CENTER,1,https://khannainstitute.com/community-vision-optometric-center
CONEJO-SIMI EYE MEDICAL GROUP,CONEJO-SIMI EYE MEDICAL GROUP,1,https://khannainstitute.com/conejo-simi-eye-medical-group
CORBEN OPTOMETRY,CORBEN OPTOMETRY,1,https://khannainstitute.com/corben-optometry
CORONA OPTOMETRY,CORONA OPTOMETRY,1,https://khannainstitute.com/corona-optometry
COSTA MESA OPTOMETRY,COSTA MESA OPTOMETRY,1,https://khannainstitute.com/costa-mesa-optometry
,COSTCO OPTICAL,16,https://khannainstitute.com/costco-optical
COVINA HILLS OPTOMETRIC GROUP,COVINA HILLS OPTOMETRIC GROUP,1,https://khannainstitute.com/covina-hills-optometric-group
"CRAIG HOEFT, O.D., P.C.","CRAIG HOEFT, O.D., P.C.",1,https://khannainstitute.com/craig-hoeft-o-d-p-c
"CRUM OPTOMETRIC GROUP, INC.","CRUM OPTOMETRIC GROUP, INC.",1,https://khannainstitute.com/crum-optometric-group-inc
CRYSTAL CLEAR OPTOMETRY,CRYSTAL CLEAR OPTOMETRY,1,https://khannainstitute.com/crystal-clear-optometry
CUSTOMIZED VISION CARE,CUSTOMIZED VISION CARE,1,https://khannainstitute.com/customized-vision-care
"DAN W. GILBERT, O.D.","DAN W. GILBERT, O.D.",1,https://khannainstitute.com/dan-w-gilbert-o-d
"DEAN AMUNDSEN, OD","DEAN AMUNDSEN, OD",1,https://khannainstitute.com/dean-amundsen-od
,DEL REY OPTOMETRY,4,https://khannainstitute.com/del-rey-optometry
"DEREK R. RICE, O.D. AND ASSOCIATES","DEREK R. RICE, O.D. AND ASSOCIATES",1,https://khannainstitute.com/derek-r-rice-o-d-and-associates
DIAMOND EYE OPTOMETRY,DIAMOND EYE OPTOMETRY,1,https://khannainstitute.com/diamond-eye-optometry
DIAMOND VISION OPTOMETRY INC,DIAMOND VISION OPTOMETRY INC,1,https://khannainstitute.com/diamond-vision-optometry-inc
,DLP EYE GROUP,7,https://khannainstitute.com/dlp-eye-group
DOCTOR SILVER & TAKETA,DOCTOR SILVER & TAKETA,1,https://khannainstitute.com/doctor-silver-taketa
,DOCTORS OF OPTOMETRY,2,https://khannainstitute.com/doctors-of-optometry
"DONALD H. SPAULDING, O.D., INC.","DONALD H. SPAULDING, O.D., INC.",1,https://khannainstitute.com/donald-h-spaulding-o-d-inc
DOUGLAS W STEPHEY OD INC,DOUGLAS W STEPHEY OD INC,1,https://khannainstitute.com/douglas-w-stephey-od-inc
DOWNEY EYECARE CENTER,DOWNEY EYECARE CENTER,1,https://khannainstitute.com/downey-eyecare-center
,DOWNEY OPTOMETRIC CENTER,2,https://khannainstitute.com/downey-optometric-center
DR DAWN MILLER & ASSOCIATES,DR DAWN MILLER & ASSOCIATES,1,https://khannainstitute.com/dr-dawn-miller-associates
DR KIM'S OPTOMETRY,DR KIM'S OPTOMETRY,1,https://khannainstitute.com/dr-kims-optometry
DR ROBERT COLLINS,DR ROBERT COLLINS,1,https://khannainstitute.com/dr-robert-collins
DR. BARRY LEONARD & ASSOCIATES,DR. BARRY LEONARD & ASSOCIATES,1,https://khannainstitute.com/dr-barry-leonard-associates
DR. BASS VISION CENTER,DR. BASS VISION CENTER,1,https://khannainstitute.com/dr-bass-vision-center
"DR. BLAIR M. BALL, O.D.","DR. BLAIR M. BALL, O.D.",1,https://khannainstitute.com/dr-blair-m-ball-o-d
DR. C OPTOMETRY,DR. C OPTOMETRY,1,https://khannainstitute.com/dr-c-optometry
DR. CARLOS GREEN OPTOMETRY,DR. CARLOS GREEN OPTOMETRY,1,https://khannainstitute.com/dr-carlos-green-optometry
"DR. CAROLYN M. WONG, O.D., P.C.","DR. CAROLYN M. WONG, O.D., P.C.",1,https://khannainstitute.com/dr-carolyn-m-wong-o-d-p-c
"DR. CHARLES H. LEVY, O.D., P.C.","DR. CHARLES H. LEVY, O.D., P.C.",1,https://khannainstitute.com/dr-charles-h-levy-o-d-p-c
"DR. DAVID BUTCHERT, O.D.","DR. DAVID BUTCHERT, O.D.",1,https://khannainstitute.com/dr-david-butchert-o-d
DR. DUNCAN AND ASSOCIATES,DR. DUNCAN AND ASSOCIATES,1,https://khannainstitute.com/dr-duncan-and-associates
,DR. ELLIOT CAINE OPTOMETRY,2,https://khannainstitute.com/dr-elliot-caine-optometry
"DR. ERIC A. SAIDI, OD","DR. ERIC A. SAIDI, OD",1,https://khannainstitute.com/dr-eric-a-saidi-od
DR. FISHBERG FAMILY VISION CENTERS,DR. FISHBERG FAMILY VISION CENTERS,1,https://khannainstitute.com/dr-fishberg-family-vision-centers
DR. GARY FISHBERG OPTOMETRISTS INC.,DR. GARY FISHBERG OPTOMETRISTS INC.,1,https://khannainstitute.com/dr-gary-fishberg-optometrists-inc
"DR. GARY FISHBERG OPTOMETRISTS, INC.","DR. GARY FISHBERG OPTOMETRISTS, INC.",1,https://khannainstitute.com/dr-gary-fishberg-optometrists-inc
,DR. GARY POLAN O.D.,2,https://khannainstitute.com/dr-gary-polan-o-d
"DR. GLENN HIURA, OPTOMETRIST","DR. GLENN HIURA, OPTOMETRIST",1,https://khannainstitute.com/dr-glenn-hiura-optometrist
,DR. HERNANDEZ OPTOMETRY,12,https://khannainstitute.com/dr-hernandez-optometry
"DR. JAROM B. PARTRIDGE, O.D.","DR. JAROM B. PARTRIDGE, O.D.",1,https://khannainstitute.com/dr-jarom-b-partridge-o-d
"DR. JERRY WAKE, OPTOMETRIST","DR. JERRY WAKE, OPTOMETRIST",1,https://khannainstitute.com/dr-jerry-wake-optometrist
"DR. JONATHAN GORDING, O.D., P.C.","DR. JONATHAN GORDING, O.D., P.C.",1,https://khannainstitute.com/dr-jonathan-gording-o-d-p-c
DR. JOSEPH COHEN - WOODLAND HILLS OPTOMETRIST,DR. JOSEPH COHEN - WOODLAND HILLS OPTOMETRIST,1,https://khannainstitute.com/dr-joseph-cohen-woodland-hills-optometrist
"DR. K. LEO UYEDA, OPTOMETRIST","DR. K. LEO UYEDA, OPTOMETRIST",1,https://khannainstitute.com/dr-k-leo-uyeda-optometrist
"DR. LISA HOPKINS, O.D.","DR. LISA HOPKINS, O.D.",1,https://khannainstitute.com/dr-lisa-hopkins-o-d
"DR. LORI L. FLOYD, OPTOMETRIST","DR. LORI L. FLOYD, OPTOMETRIST",1,https://khannainstitute.com/dr-lori-l-floyd-optometrist
"DR. MARSHA HOWARD, O.D. & ASSOCIATES","DR. MARSHA HOWARD, O.D. & ASSOCIATES",1,https://khannainstitute.com/dr-marsha-howard-o-d-associates
,DR. MICHAEL KHOURY & ASSOCIATES (INSIDE COSTCO OPTICAL),2,https://khannainstitute.com/dr-michael-khoury-associates-inside-costco-optical
DR. MICHELE A. ROGERS OPTOMETRIST,DR. MICHELE A. ROGERS OPTOMETRIST,1,https://khannainstitute.com/dr-michele-a-rogers-optometrist
DR. MICHELLE A. ROGERS OPTOMETRIST,DR. MICHELLE A. ROGERS OPTOMETRIST,1,https://khannainstitute.com/dr-michelle-a-rogers-optometrist
DR. NANCY IMAMOTO OPTOMETRY,DR. NANCY IMAMOTO OPTOMETRY,1,https://khannainstitute.com/dr-nancy-imamoto-optometry
DR. PHI DOAN OPTOMETRY,DR. PHI DOAN OPTOMETRY,1,https://khannainstitute.com/dr-phi-doan-optometry
,"DR. RICHLIN, O.D. & ASSOCIATES",3,https://khannainstitute.com/dr-richlin-o-d-associates
"DR. SEYMOUR BESEM, O.D.","DR. SEYMOUR BESEM, O.D.",1,https://khannainstitute.com/dr-seymour-besem-o-d
"DR. SO, OPTOMETRIST","DR. SO, OPTOMETRIST",1,https://khannainstitute.com/dr-so-optometrist
"DR. TOM FUNNELL, OPTOMETRIST","DR. TOM FUNNELL, OPTOMETRIST",1,https://khannainstitute.com/dr-tom-funnell-optometrist
,DRS BALFOUR & SHAPIRO OPTOMETRY,2,https://khannainstitute.com/drs-balfour-shapiro-optometry
,"DRS. JOANNE AND TEM GRONQUIST, INC.",2,https://khannainstitute.com/drs-joanne-and-tem-gronquist-inc
,"DRS. ROBERT STAHL & AMY CALDER, OPTOMETRISTS",2,https://khannainstitute.com/drs-robert-stahl-amy-calder-optometrists
EAGLE GLEN OPTOMETRY,EAGLE GLEN OPTOMETRY,1,https://khannainstitute.com/eagle-glen-optometry
,EAGLE VIEW OPTOMETRY,2,https://khannainstitute.com/eagle-view-optometry
EAST LA VISION CENTER,EAST LA VISION CENTER,1,https://khannainstitute.com/east-la-vision-center
EAST VENTURA OPTOMETRY,EAST VENTURA OPTOMETRY,1,https://khannainstitute.com/east-ventura-optometry
EL MONTE OPTOMETRY,EL MONTE OPTOMETRY,1,https://khannainstitute.com/el-monte-optometry
EL PORTAL OPTOMETRY,EL PORTAL OPTOMETRY,1,https://khannainstitute.com/el-portal-optometry
EL SEGUNDO EYECARE,EL SEGUNDO EYECARE,1,https://khannainstitute.com/el-segundo-eyecare
EL SEGUNDO OPTOMETRY,EL SEGUNDO OPTOMETRY,1,https://khannainstitute.com/el-segundo-optometry
ELANDER EYE CARE,ELANDER EYE CARE,1,https://khannainstitute.com/elander-eye-care
,ENCINO OPTOMETRIC CENTER,2,https://khannainstitute.com/encino-optometric-center
"ERIC J. KAWATA, O.D., INC.","ERIC J. KAWATA, O.D., INC.",1,https://khannainstitute.com/eric-j-kawata-o-d-inc
EXPRESS OPTICAL,EXPRESS OPTICAL,1,https://khannainstitute.com/express-optical
,EYE & VISION CARE,3,https://khannainstitute.com/eye-vision-care
,EYE CARE OPTOMETRY,2,https://khannainstitute.com/eye-care-optometry
,EYE CARE RIVIERA OPTOMETRIC GROUP,2,https://khannainstitute.com/eye-care-riviera-optometric-group
EYE CLINIC AT RSBCIHI - MORONGO INDIAN HEALTH CLINIC,EYE CLINIC AT RSBCIHI - MORONGO INDIAN HEALTH CLINIC,1,https://khannainstitute.com/eye-clinic-at-rsbcihi-morongo-indian-health-clinic
EYE LOVE OPTICAL,EYE LOVE OPTICAL,1,https://khannainstitute.com/eye-love-optical
EYE ON DESIGN OPTOMETRY,EYE ON DESIGN OPTOMETRY,1,https://khannainstitute.com/eye-on-design-optometry
EYE PHYSICAN OF LONG BEACH,EYE PHYSICAN OF LONG BEACH,1,https://khannainstitute.com/eye-physican-of-long-beach
EYE Q. OPTOMETRY INC,EYE Q. OPTOMETRY INC,1,https://khannainstitute.com/eye-q-optometry-inc
EYE TO EYE OPTOMETRY,EYE TO EYE OPTOMETRY,1,https://khannainstitute.com/eye-to-eye-optometry
EYECARE ASSOCIATES OPTOMETRIC GROUP,EYECARE ASSOCIATES OPTOMETRIC GROUP,1,https://khannainstitute.com/eyecare-associates-optometric-group
EYECARE UNLIMITED,EYECARE UNLIMITED,1,https://khannainstitute.com/eyecare-unlimited
EYECARE VISION OPTOMETRY,EYECARE VISION OPTOMETRY,1,https://khannainstitute.com/eyecare-vision-optometry
EYECON OPTOMETRY,EYECON OPTOMETRY,1,https://khannainstitute.com/eyecon-optometry
EYEDEAL VISION OPTOMETRY,EYEDEAL VISION OPTOMETRY,1,https://khannainstitute.com/eyedeal-vision-optometry
,EYEGEN VISION CENTER,2,https://khannainstitute.com/eyegen-vision-center
EYESITE OPTOMETRIC GROUP,EYESITE OPTOMETRIC GROUP,1,https://khannainstitute.com/eyesite-optometric-group
,EYESITE OPTOMETRY,5,https://khannainstitute.com/eyesite-optometry
FACEY MEDICAL,FACEY MEDICAL,1,https://khannainstitute.com/facey-medical
FAMILY EYECARE CENTER OF OPTOMETRY,FAMILY EYECARE CENTER OF OPTOMETRY,1,https://khannainstitute.com/family-eyecare-center-of-optometry
FAMILY EYECARE OPTOMETRY OF HEMET,FAMILY EYECARE OPTOMETRY OF HEMET,1,https://khannainstitute.com/family-eyecare-optometry-of-hemet
,FAMILY OPTOMETRIC GROUP,3,https://khannainstitute.com/family-optometric-group
FAMILY OPTOMETRY CENTER OF CAMARILLO,FAMILY OPTOMETRY CENTER OF CAMARILLO,1,https://khannainstitute.com/family-optometry-center-of-camarillo
FAMILY OPTOMETRY OF WALNUT,FAMILY OPTOMETRY OF WALNUT,1,https://khannainstitute.com/family-optometry-of-walnut
,FAMILY VISION CARE OPTOMETRY,2,https://khannainstitute.com/family-vision-care-optometry
FAMILY VISION CENTER,FAMILY VISION CENTER,1,https://khannainstitute.com/family-vision-center
FEINERMAN VISION,FEINERMAN VISION,1,https://khannainstitute.com/feinerman-vision
,FOCAL POINT OPTOMETRY,3,https://khannainstitute.com/focal-point-optometry
,FOCUS VISION OPTOMETRIC CENTER,2,https://khannainstitute.com/focus-vision-optometric-center
FOCUS VISION OPTOMETRY,FOCUS VISION OPTOMETRY,1,https://khannainstitute.com/focus-vision-optometry
,FOOTHILL OPTOMETRIC CENTER,2,https://khannainstitute.com/foothill-optometric-center
FREESTONE OPTOMETRIC CENTER,FREESTONE OPTOMETRIC CENTER,1,https://khannainstitute.com/freestone-optometric-center
,FRIEDMAN OPTOMETRY,8,https://khannainstitute.com/friedman-optometry
FUNZONE! VISION,FUNZONE! VISION,1,https://khannainstitute.com/funzone-vision
,GARDEN GROVE OPTOMETRY,2,https://khannainstitute.com/garden-grove-optometry
GAREY VISION CENTER,GAREY VISION CENTER,1,https://khannainstitute.com/garey-vision-center
,"GARY L. ETTING, O.D., FCOVD",2,https://khannainstitute.com/gary-l-etting-o-d-fcovd
"GLENDA B. SECOR, OD, FAAO, INC","GLENDA B. SECOR, OD, FAAO, INC",1,https://khannainstitute.com/glenda-b-secor-od-faao-inc
,GLENDALE OPTOMETRIC CENTER,2,https://khannainstitute.com/glendale-optometric-center
,GOLDEN OPTOMETRIC GROUP,11,https://khannainstitute.com/golden-optometric-group
GOLDEN STATE OPTOMETRY SERVICES,GOLDEN STATE OPTOMETRY SERVICES,1,https://khannainstitute.com/golden-state-optometry-services
GOLDEN VISION,GOLDEN VISION,1,https://khannainstitute.com/golden-vision
GOLDEN VISION OPTOMETRY,GOLDEN VISION OPTOMETRY,1,https://khannainstitute.com/golden-vision-optometry
,GRANADA HILLS OPTOMETRY CENTER,2,https://khannainstitute.com/granada-hills-optometry-center
,GREENLEAF OPTOMETRY,2,https://khannainstitute.com/greenleaf-optometry
GREG PEARL OD AND ASSOCIATES,GREG PEARL OD AND ASSOCIATES,1,https://khannainstitute.com/greg-pearl-od-and-associates
,GRIFFIN OPTOMETRIC GROUP,4,https://khannainstitute.com/griffin-optometric-group
HAWTHORNE OPTOMETRY,HAWTHORNE OPTOMETRY,1,https://khannainstitute.com/hawthorne-optometry
HIGH DESERT INSTITUTE OF OPHTHALMOLOGY,HIGH DESERT INSTITUTE OF OPHTHALMOLOGY,1,https://khannainstitute.com/high-desert-institute-of-ophthalmology
HIGHLAND OPTOMETRICS,HIGHLAND OPTOMETRICS,1,https://khannainstitute.com/highland-optometrics
HODES VISION OPTOMETRY,HODES VISION OPTOMETRY,1,https://khannainstitute.com/hodes-vision-optometry
HOEY SHEM OPTOMETRY,HOEY SHEM OPTOMETRY,1,https://khannainstitute.com/hoey-shem-optometry
HOFACRE OPTOMETRIC CORP & DRY EYE CARE (IN COSTCO OPTICAL),HOFACRE OPTOMETRIC CORP & DRY EYE CARE (IN COSTCO OPTICAL),1,https://khannainstitute.com/hofacre-optometric-corp-dry-eye-care-in-costco-optical
HOLLYWOOD OPTOMETRY,HOLLYWOOD OPTOMETRY,1,https://khannainstitute.com/hollywood-optometry
HOLLYWOOD VERMONT OPTOMETRICS,HOLLYWOOD VERMONT OPTOMETRICS,1,https://khannainstitute.com/hollywood-vermont-optometrics
HOVSEPYAN FAMILY OPTOMETRY,HOVSEPYAN FAMILY OPTOMETRY,1,https://khannainstitute.com/hovsepyan-family-optometry
HUNTINGTON FAMILY OPTOMETRY,HUNTINGTON FAMILY OPTOMETRY,1,https://khannainstitute.com/huntington-family-optometry
,HUNTINGTON OPTOMETRIC CENTER,2,https://khannainstitute.com/huntington-optometric-center
I VISION OPTOMETRY,I VISION OPTOMETRY,1,https://khannainstitute.com/i-vision-optometry
"I-SIGHT OPTOMETRIC CENTER, INC.","I-SIGHT OPTOMETRIC CENTER, INC.",1,https://khannainstitute.com/i-sight-optometric-center-inc
,IKEDA OPTOMETRY,2,https://khannainstitute.com/ikeda-optometry
,IN VIEW OPTOMETRY,2,https://khannainstitute.com/in-view-optometry
,INGLEWOOD OPTOMETRIC CENTER,3,https://khannainstitute.com/inglewood-optometric-center
INLAND EYE LASIK,INLAND EYE LASIK,1,https://khannainstitute.com/inland-eye-lasik
,INLAND EYE SPECIALISTS,2,https://khannainstitute.com/inland-eye-specialists
INLAND VISION CENTER OPTOMETRY,INLAND VISION CENTER OPTOMETRY,1,https://khannainstitute.com/inland-vision-center-optometry
,INSIGHT VISION CENTER OPTOMETRY,3,https://khannainstitute.com/insight-vision-center-optometry
"J. SCOTT FLEMING, O.D.","J. SCOTT FLEMING, O.D.",1,https://khannainstitute.com/j-scott-fleming-o-d
JACKMAN OPTOMETRY,JACKMAN OPTOMETRY,1,https://khannainstitute.com/jackman-optometry
JACKSON MEDICAL GROUP,JACKSON MEDICAL GROUP,1,https://khannainstitute.com/jackson-medical-group
"JAMBOREE OPTOMETRY, INC.","JAMBOREE OPTOMETRY, INC.",1,https://khannainstitute.com/jamboree-optometry-inc
"JAMES L. COOPERMAN, O.D.","JAMES L. COOPERMAN, O.D.",1,https://khannainstitute.com/james-l-cooperman-o-d
"JASON H. NAKAGAWA, OD","JASON H. NAKAGAWA, OD",1,https://khannainstitute.com/jason-h-nakagawa-od
,JCPENNEY OPTICAL,2,https://khannainstitute.com/jcpenney-optical
"JEFFREY H. BROWN, O.D.","JEFFREY H. BROWN, O.D.",1,https://khannainstitute.com/jeffrey-h-brown-o-d
JEWEL CITY OPTOMETRY,JEWEL CITY OPTOMETRY,1,https://khannainstitute.com/jewel-city-optometry
,"JOHN E. MAANUM, O.D.",2,https://khannainstitute.com/john-e-maanum-o-d
"JOHN S ROSSI, OD","JOHN S ROSSI, OD",1,https://khannainstitute.com/john-s-rossi-od
JUDY HUANG OPTOMETRY,JUDY HUANG OPTOMETRY,1,https://khannainstitute.com/judy-huang-optometry
,KAISER PERMANENTE,4,https://khannainstitute.com/kaiser-permanente
,KAISER PERMANENTE FONTANA MEDICAL CENTER,2,https://khannainstitute.com/kaiser-permanente-fontana-medical-center
,KAISER PERMANENTE SOUTH BAY MEDICAL CENTER,2,https://khannainstitute.com/kaiser-permanente-south-bay-medical-center
,KAISER PERMANENTE WOODLAND HILLS MEDICAL CENTER,3,https://khannainstitute.com/kaiser-permanente-woodland-hills-medical-center
"KATHLEEN ANDERSEN, OD","KATHLEEN ANDERSEN, OD",1,https://khannainstitute.com/kathleen-andersen-od
